Index,X_Density,Y_Density,Z_Density,GroundTruth_Density
6347,10.13662240022214,2.4581861577719373,0.7899059564599205,1.2708609661445676
6348,11.50679517634253,2.1363922095988555,0.82535992171764,1.2647940347559221
6349,9.171429460545443,1.9072384181767557,0.8849790709547557,1.318624692172301
6350,9.556269195947165,0.8992256606816105,0.5004260365012536,0.7354041086092927
6351,11.22039145216602,1.089011093116446,0.5675673893201031,0.8588607738305667
6352,7.611387858852799,0.8678816262774174,0.5485238847407133,0.7883728464300355
6353,11.381915570253582,1.4717008120533204,0.6691603131117853,1.0560928874658917
6354,9.604188527013761,1.485693944428426,0.7555551153624946,1.1613551693215336
6355,10.44991439591033,1.345403868884409,0.8962095734174902,1.2704645459336017
6356,10.60348177284813,1.346362839657387,0.7887927332586692,1.1616474281434381
6357,9.049412736081674,1.7336786906452104,1.0172644935649162,1.471055435334987
6358,8.979079222375981,1.6494929486880026,1.3712641323774568,1.7408180434422458
6359,7.242330981819613,0.9457578419244742,0.5857541371573486,0.8474139707162006
6360,9.655600111014053,1.280507984693342,0.9712310811911212,1.3091824477748
6361,10.21054524791725,0.973287983141093,0.5749396535386255,0.8474028267455335
6362,14.940305613357745,1.9093547140959544,1.186419679079682,1.6987170997762444
6363,11.77510902400837,0.9837862241006157,0.5402250889056356,0.8058563064414441
6364,7.698906402368427,0.8669306276843496,0.5729530894303434,0.8117965902217594
6365,6.893804899109521,0.7235632663503525,0.4255429715493123,0.6191538409416107
6366,6.182949439819914,0.6525569449337028,0.4293169554267743,0.5932487211560169
6367,7.175962844097728,0.888728619523485,0.5475995726219047,0.7762405957831813
6368,10.059134448985823,1.0362100803200853,0.11258919056793595,0.18903845330785082
6369,8.885174607237387,0.6997089984284608,0.1361116583154734,0.22530446138961122
6370,13.483382090343934,1.0150890158821582,0.24176082744611072,0.3971908007909723
6371,12.162801861735879,0.8039599863949551,0.2518616431701966,0.40797703777202654
6372,8.585601295366848,0.8550765752018792,0.3877208051039143,0.5997006427013475
6373,9.296694061098272,0.7927426028528327,0.42870499163217524,0.6456268657904299
6374,7.19138575199062,0.7515252606405591,0.3820737418522116,0.5824361494004459
6375,8.496169309322507,1.1415495373786857,0.5110756412902122,0.7826135975329254
6376,10.487272983554655,1.3530166641858423,0.8527787832579904,1.2011329303909157
6377,9.316562714482705,0.7909636196486118,0.5137265644746123,0.7429267388142065
6378,10.381592322600017,0.5404644091868978,0.05801016069048977,0.09788508549073464
6379,11.906885948560994,1.1503442806792024,0.7259317218167743,1.0384839723679564
6380,8.797891109289152,0.8603001720134429,0.6146812382205422,0.8876213400247916
6381,6.671197751261246,1.165372584354358,0.9189991612352795,1.264775333992034
6382,6.304696731842584,0.5752620420678957,0.4283811388191552,0.5880508544506861
6383,7.266193626938812,0.6822554583577657,0.5389991089915993,0.7046879789275687
6384,7.4885657090675695,0.9402393108806469,0.6403613085167088,0.8591140253297503
6385,6.964592133182225,0.6815460928524355,0.5704930746249959,0.7162127006552856
6386,5.527250732742451,0.8591397612247211,0.780803561449666,0.9755063178239549
6387,6.878161358107375,0.8826139529182175,0.6216330497038959,0.8824313092578663
