Index,Y_Density,X_Density,Z_Density,GroundTruth_Density
818,2.5362191166412686,1.3538913650583932,0.4225448580043635,0.7045022727988954
819,2.7582190696482454,1.087531216006774,0.35690327908124064,0.5778282585674095
820,2.47546652485835,0.8488423225290322,0.2899321259356201,0.48494500767092036
821,2.4258335421751314,0.7587699076780569,0.2747099556626783,0.46256176912901587
822,2.253242834466186,1.0184546779769394,0.3338306783331618,0.5613541380865256
823,2.3849763884699766,1.1881525585772201,0.37428315125677913,0.6469289779526854
824,1.6921246623747677,1.339557730645975,0.3612427938937394,0.6037227526454865
825,1.9130643258113949,0.6241629701879274,0.23154837221141364,0.3888542411477523
826,2.313194732926486,0.7012121847079514,0.26079899255114264,0.4416112415999093
827,1.4110192472007759,0.5204145283824846,0.18780150130994006,0.317486927137214
828,1.9499264780142234,0.7823438860107679,0.34131634496157853,0.5492041388009896
829,2.217363593186228,0.7281039418275054,0.2747651316897245,0.4416189326793484
830,2.068581928625782,0.8418507228713956,0.32681478012909904,0.5211050008308911
831,1.5710585007247018,0.750878479086009,0.29600354162630554,0.47840722175099326
832,1.5601210149978908,0.5513593144496676,0.25531884100639973,0.39644490644952146
833,1.7636988882646687,0.737128541497478,0.39322158143782215,0.5868123420626957
834,1.8591546097099478,0.46422161145194146,0.22803319968814534,0.3520774290501397
835,2.3064466692656467,0.5500034534951763,0.2537296565208875,0.39360065084087126
836,1.9568931485142247,0.5564532126324749,0.24678380392513616,0.37886188412965566
837,1.9814936980749536,0.8637093085590616,0.3216216350791756,0.5083429316377551
838,2.380840429468787,0.8128327495056243,0.35754251615151156,0.5509738497355963
839,2.7238235248860936,0.7102822358281558,0.44023996626412015,0.629121903777712
840,3.158372921868178,0.5066340355188222,0.23515252297791397,0.359310818221403
841,2.1979137656351284,0.40865961670214734,0.18981620753427303,0.28250916015324445
842,1.9343033774969853,0.30300417374447985,0.14551809081537484,0.21903099488254468
843,2.5527469398446074,0.07168727878062263,0.0797247295215488,0.08729991931185208
844,3.1463607239964064,0.04746547435707128,0.10289219419674489,0.06903088479471431
845,5.505057959342223,0.05836596392566181,0.0859464883652549,0.07766398576823441
846,8.921317461204938,0.06820027574923429,0.08311107514296154,0.08605917320000489
847,9.083864590792796,0.07575126458317488,0.08286808048827254,0.09161274315010035
848,9.568154660115349,0.09265485357616707,0.05879565105120782,0.0822331128150543
849,9.588195176178209,0.10063287089264024,0.05820161311138694,0.08379373188381657
850,6.666420779000288,0.1222795034343432,0.06727643066266784,0.09849024543883611
