Index,Z_Density,X_Density,Y_Density,GroundTruth_Density
1030,4.086752436132509,0.022380585251331197,0.018458653972316108,0.024808641290953136
1031,3.195317350050342,0.015642675488194056,0.013138699707375842,0.01744063133979795
1032,2.983309860211727,0.015508305835721155,0.013674154299226766,0.017672049996406213
1033,3.290204121615644,0.015304224800820498,0.01403209188153855,0.01771006171998299
1034,2.3098301661727514,0.015400048855031063,0.015021178598535242,0.018291443863599523
1035,2.7551056092692896,0.015581871005649759,0.016393336528738124,0.019068681080297193
1036,2.546933385536269,0.0155806540130838,0.01719902913350012,0.019385633013521544
1037,1.8164371254440457,0.015658855136736198,0.01829963768403499,0.019868473064758602
1038,2.349546345120527,0.021795156708284923,0.027385960309761308,0.028327993495920255
1039,2.1284847599727703,0.016715786689018665,0.019008539880763203,0.020899494088285994
1040,2.329926128963854,0.01810579630131097,0.019504465966734965,0.02214489238716861
1041,2.436570368592112,0.02483894738572618,0.029276431347365784,0.03147669936908075
1042,2.6988365972300725,0.018270189362741475,0.025095338501219245,0.02439425812178681
1043,2.302892363423257,0.018839188598366287,0.02793352905616951,0.02567095399149007
1044,2.6675187287317987,0.026920330081754484,0.04369979643236875,0.03752624459831
1045,3.158519085267915,0.0199718747815874,0.03770712507631052,0.028761527898488088
1046,2.874820316805468,0.020971032488810614,0.04256948552610135,0.030583925525141165
1047,3.1474468229447607,0.021585033609935207,0.04580214392372667,0.0317493769877309
1048,3.1248883103417233,0.023797710588881554,0.06346132280982188,0.036021602646154
1049,3.0407836733516267,0.025687351894662792,0.08511506670088131,0.039538754176887105
1050,2.891306788993704,0.025581720655213313,0.0682260571325199,0.03875057425271813
1051,2.773507746384778,0.03666052767909753,0.05725509071885426,0.04873645634051526
1052,3.6127058604964724,0.030418333851188112,0.09747682920670861,0.0467376027987079
1053,3.3147182199941936,0.03211161855117621,0.09685680902906653,0.049427807235111657
1054,5.28710227823655,0.060839398183086056,0.04163221357008816,0.05361958769924757
1055,7.732494497606081,0.06806781431645481,0.05895380300776083,0.07383012194221382
1056,6.937128538848282,0.06242507442334999,0.0560661518520271,0.06978373031182247
1057,4.919406639777264,0.060365798382638024,0.06757294151592837,0.07238217107899408
1058,4.271647257322099,0.05880928157233101,0.11984226637200088,0.08760633245688693
1059,3.7508617617916356,0.23388620918161757,0.12351126644909505,0.17518874217784303
1060,4.1621123320818985,0.055244078342178926,0.07227156168401994,0.07238500994436226
1061,5.140480131927241,0.04985255761895842,0.04612140406677037,0.058495052120789995
1062,5.0698574673327,0.09930509638585906,0.11578738373849233,0.12192411565425612
1063,8.622815876667715,0.08177695668083089,0.07120866833001913,0.09006285081267826
1064,6.107446064031075,0.06747831861809006,0.05632946063179374,0.07491641989306123
1065,5.76056484366264,0.07066732877729023,0.05751611355926587,0.07781091682598863
1066,5.300337059571204,0.06686374957009841,0.0643287924411087,0.08129599750140185
1067,4.806534593573774,0.08206622233143301,0.0670547915609043,0.09176701890073866
1068,8.025251899387225,0.14320851217398758,0.12474335934460994,0.16177255854745826
1069,10.051010071413604,0.14799563608880628,0.10161010283257284,0.1467265595174784
1070,8.836556051626184,0.11870555964837567,0.10260902543149245,0.13824892847844147
1071,5.5098386109966455,0.08427843805922343,0.0641078449419082,0.09251274854423892
1072,4.488899866323111,0.06602145968512854,0.045653554933871986,0.0682508827191231
1073,4.619368013415536,0.05943413102094068,0.04182034390444933,0.0623262103796306
1074,3.7200391846948477,0.08089587493264619,0.05389797213601284,0.08186589880996101
1075,3.3422350920814,0.05836743311428405,0.04005938465060889,0.06041492878167774
1076,3.668418079929446,0.0573165732487622,0.03855549224767957,0.05869523696093685
1077,4.066299758921579,0.04647131335216122,0.03113586867202005,0.04750678672298513
1078,3.2824609125715094,0.04965048323974001,0.03249627930313531,0.05000080187423437
1079,3.4024789552050954,0.045482852012101824,0.029531257759369166,0.045587522108057534
1080,3.759141724062707,0.04273483984910241,0.027412956502483793,0.042510885083535094
