,X,Y,Z
0,0.26341814328859514,0.3819208206697201,0.09317429540233335
1,0.27339724756197537,0.454655959527573,0.0913501585804561
2,0.2719896282576982,0.5703699497509834,0.09046569983471417
3,0.2968473392628814,0.6322058796591951,0.0896785020356539
4,0.32988818443681545,0.6722097148420396,0.08854698955255338
5,0.4324878856531993,0.7889706013611542,0.08844979755517693
6,0.4943263095462983,0.7543969559120037,0.0894070844137053
7,0.5048182427723696,0.8272919152151624,0.09182396174685661
8,0.48570541763727343,0.9898516472120249,0.0938540369897045
9,0.5530724026364321,1.0711931957985152,0.09571641685706937
10,0.6554533924527307,1.205874373806858,0.09917868217086737
11,0.6608367489257074,1.3978960220977794,0.10338461355913563
12,0.7171077386729308,1.3600377534489627,0.11010373621214775
13,0.8226595995080205,1.601300878603459,0.12031984343136184
14,0.9147627613510059,1.7026429448478884,0.12797802424427795
15,0.9109250816510196,2.040464932303951,0.14550248581730937
16,1.0181426501286177,2.326355833652478,0.1595788226737667
17,1.1306571297284698,2.4889827699891356,0.17857855198509595
18,1.305221075181599,2.766943956161296,0.20016367518048947
19,1.527097853767779,2.985294049365791,0.2380294550025361
20,1.6248846260955039,3.6524443580553636,0.2522248334386862
21,1.7935748260302486,3.973126940184254,0.32796666840938205
22,1.8371228811978977,4.572163943232578,0.292198745520891
23,2.1260823726095657,5.025268789017322,0.37775278712538085
24,2.4053287104457883,5.631251434262671,0.4770396591041718
25,2.805553711433063,5.9988142400752285,0.5591507207118755
26,3.2642407896103496,6.872913683656455,0.662060812197916
27,3.7370222705192306,7.28236384052254,0.5489897109785215
28,4.075372757833296,8.207196512014253,0.7777803961696976
29,4.530059953506639,9.1971370400362,1.104914039897839
30,4.846422461944372,10.050855506776095,1.4831667643821358
31,5.203695465783461,11.028549666777819,1.916890992823802
32,6.172698609599996,11.576601047915968,2.5422518171888373
33,6.744417402115625,13.702841716891383,3.3883314321414
34,7.4453423206371365,15.734716420433472,3.2827493133830443
35,8.127657534773766,17.434661514523125,4.262930313666902
36,8.965631805399193,18.91311766716583,6.645558015836871
37,9.951408572887289,20.923455575171445,8.497268349935046
38,11.213132492900204,22.279879180812603,10.418642753813247
39,12.158829072526734,23.30317597271504,12.360501263878083
40,13.206473123039538,25.000839043329947,15.018570274221773
41,13.73418249965419,26.619641690853474,21.399603680003217
42,15.100730216846506,27.71644797556996,22.357530101511628
43,15.673477967021164,28.000349795686514,26.404937194532778
44,16.919614841135346,27.991202959294164,32.74775832624638
45,17.951290885631906,27.407561415300112,36.292755736535184
46,18.391545748438148,25.635547816825976,40.97161497069524
47,19.000701165414647,22.58898543498637,44.00724303191015
48,19.352919237736803,25.20462303540395,48.07542695654996
49,19.527893945453002,22.63659664342915,51.34648760097742
50,19.969832966478183,18.97778416541107,52.51862623201903
51,19.880662693726293,14.840232189366423,54.44035350679136
52,19.74603145129568,10.603029215845291,55.828274359302796
53,18.76666810452473,5.6779765085476415,55.82634609260286
54,18.039856403073717,-1.4176306710515032,55.29229412109506
55,15.247073750676124,-7.2630656363826365,52.649872793051614
56,12.73636611177876,-11.011784235985882,52.9273327733412
57,10.653179879585249,-10.618706658657178,51.58044609714703
58,9.09045083480252,-12.440186761582808,48.367216061142464
59,7.314729830890511,-12.700499134572533,45.758890092605256
60,7.017618924285168,-15.409049004743887,45.674864240584554
61,5.600305935367632,-15.451810564089282,43.23238043124357
62,3.534379850695069,-16.14731316084346,41.0229331091151
63,1.7706879011059322,-16.42724665920493,39.993661995744255
64,4.197019694067333,-16.476144739575727,39.3264667204245
65,3.0223330012581746,-16.687507402765426,37.44594713507251
66,2.6402077849700922,-16.770662831930746,35.708087528669616
67,0.527474987079652,-16.829022422500096,35.410959120177935
68,0.46104829811699594,-16.667434335842945,34.28483467777938
69,-0.8218888680315086,-16.567459332364397,33.334068089348214
70,-3.6163176528338816,-16.338153985564748,32.78277417382313
71,-5.243135951066879,-15.504965522162141,32.48695225571801
72,-7.16865490506008,-15.54091624852263,32.44436669544486
73,-8.615846441592101,-15.128169869027616,32.59423539819953
74,-9.423112011652597,-14.685642001395738,33.03263241997086
75,-9.981939739168253,-14.586435708075337,33.187746349143524
76,-10.601428678337134,-13.65770119093962,33.953998287451974
77,-10.812109064006462,-13.290057156291484,33.84218740823722
78,-11.09013834707475,-12.658091459413377,34.37906420356048
79,-11.2654654646335,-11.074236310847485,34.90277465900081
80,-11.239856682895772,-10.266538118994912,35.60399748977179
81,-11.139563104623678,-9.144871152088813,35.797729817664965
82,-10.868495702665506,-7.919209624397202,35.85380535840125
83,-10.559367517550205,-6.162021808349885,35.722548921422685
84,-9.958211351249645,-7.129040251142367,35.73514580092664
85,-9.854667685364463,-6.932564920070083,35.73256161255995
86,-9.603269756295164,-5.592410351325278,35.834554725573724
87,-9.195668363154812,-5.029076519854823,35.43671685445715
88,-8.808180057961325,-4.315116767545962,34.929443302956486
89,-8.052003091235253,-3.4315765711316324,34.71595148318436
90,-7.584217257797626,-2.897076073038243,33.98671794859215
91,-7.4307252302914675,-2.3654394884077785,33.33400885668838
92,-7.088059265702629,-1.5917150604754364,32.348955535162524
93,-6.4181338484393375,-1.217212854958158,31.837043102667277
94,-5.397249299432066,-1.0580026403601233,31.110496777539172
95,-5.0535681040791065,-0.9380455265846354,31.009963425511895
96,-4.613044856528143,-0.7275169389831717,30.0781031669437
97,-4.083397031584843,-0.5416214966533326,29.28495265596709
98,-3.697204771148076,-0.494881727032047,28.350766567385474
99,-2.9498725611959733,-0.5042283920396038,26.782502255479677
100,-2.702678753750701,-0.5348464807561945,25.438559471266828
101,-2.4953060430888714,-0.5994499750384185,24.841894084671903
102,-2.391671737802946,-0.6371545048392973,23.999928173567103
103,-2.293058607508071,-0.7664294118986433,23.241379661186667
104,-2.041276423029488,-0.8467428273737961,22.679918023739667
105,-1.9573950930499584,-0.9175049242010466,21.960909033660982
106,-1.8975665993082915,-1.0206267318587225,22.056834648586513
107,-1.8091603931204203,-1.087836940882003,21.2352657647079
