,X,Y,Z
0,0.9393924154894112,0.8509059880316745,0.1510126708499906
1,0.9323325160492124,1.1725235706787107,0.15607985924929144
2,0.9458442242612187,1.4324395139409891,0.16226025149895626
3,0.9912575326600349,1.6678757395984816,0.1712640176838921
4,1.0510993527653867,1.8353302149808357,0.17367963078016768
5,1.1476922470841062,2.0152809015787714,0.1902482375012705
6,1.2107367358970171,2.306436462763538,0.21052640231639788
7,1.2941705017393241,2.6217959164349325,0.23840432622317995
8,1.467675919715568,2.8777282504854913,0.2777326319200927
9,1.6084459042225152,3.017316300721446,0.3115134935945923
10,1.736712472700063,3.498563913522455,0.3502622202926786
11,1.9539808509242362,3.904605618470064,0.4119245471282679
12,2.13295753667556,4.373204204603069,0.5103850157771044
13,2.3971709110932515,4.82364414454662,0.5660082933174518
14,2.5889475621955493,5.410830345388594,0.6632424295851127
15,2.8672036043677824,6.0266290058989025,0.7868144699880631
16,3.1799771002711434,6.735919665939582,0.9237921424015729
17,3.565168287094203,7.533584781956284,1.112964173011034
18,4.025644346328182,8.459333517954972,1.4230931997236054
19,4.481481948960719,9.398981760204393,1.634775903259074
20,4.967456955006991,10.76622022857992,1.9934511664036068
21,5.51384841691991,11.755809391410772,2.544549344861219
22,6.003971254009653,13.063695452346128,3.2992659955959978
23,6.539063340671437,14.236606799042777,3.8431774691522285
24,7.245398360919773,15.656472071242993,4.750744617509892
25,8.089810556696,17.12804764138153,5.720330268388145
26,8.951552157258988,18.645862002170933,6.422418192034973
27,10.071208522654892,20.420290807353407,8.18034077867132
28,11.185475257329053,21.693855622418937,9.763039979323448
29,12.233189761485882,23.71230173003915,12.131992340751038
30,13.316254830979624,25.144103495227426,14.987415483947277
31,14.402329944066919,26.234495059135988,18.02544232343154
32,15.574027214308455,27.42946206677746,20.853255436748604
33,16.67805346359473,28.680571400610397,23.216090145213094
34,17.710367644887885,28.993240562641752,27.04235667377923
35,18.58167194531557,28.903714314171992,31.89227288386978
36,19.332107142162226,27.867174897413157,36.81183105372376
37,20.596682848504706,25.576249180521618,39.89651474662614
38,21.115985000274623,22.844015746837968,43.61022541170847
39,21.281664124098953,19.02198411199794,47.480487102198204
40,21.057957099682493,14.607741229529449,50.69313772388294
41,20.323014074755665,10.041632140363625,52.89673668738959
42,19.144403001268408,5.384503813883021,53.457342831309624
43,18.12507658551893,1.2216217759459926,53.04395519204234
44,16.53526983554521,-3.294154410621333,52.14480426761801
45,14.270868309084474,-7.269821320348939,50.29608443730213
46,12.000981811959177,-10.969352001526087,48.20340881181762
47,10.441344722197776,-13.343569332129213,45.89014631078999
48,8.469747280488392,-15.408523138084892,43.31827418248347
49,6.203160352612531,-16.44731118130493,40.33162752147182
50,3.809497456430043,-17.007153695049595,38.03688359666987
51,1.846389251582633,-17.261753131059187,36.50557355768878
52,0.07063083440536522,-17.25219352077,35.013275953816546
